source_name,category,source_register_url,has_coded_connector,connector_name,connector_type,connector_status,automation_feasibility,access_method,access_status,notes
BC Bid,A — Active tender portals,https://bcbid.gov.bc.ca,NO,NONE,N/A,N/A,Medium,Email alert (commodity),Verified (Business BCeID),[usefulness est.: High] Set civil/earthwork commodity codes. Business BCeID required
CivicInfo BC — Bids & Tenders,A — Active tender portals,https://www.civicinfo.bc.ca/bids,NO,NONE,N/A,N/A,High,RSS + email alert,Verified,[usefulness est.: High] Most automatable channel — has RSS feed
bids&tenders Municipal Portals,A — Active tender portals,https://www.bidsandtenders.ca,NO,NONE,N/A,N/A,Medium,Email alert (saved search),Verified (registration),[usefulness est.: High] One saved search per municipal subdomain
BC Municipal GIS Directory,B — Municipal development applications,https://guides.library.ubc.ca/bc-maps-data,NO,NONE,N/A,N/A,—,Directory of portals,Working,[usefulness est.: High] Master directory to resolve any municipality's open-data/map endpoint + which expose water/sewer/drainage layers | Original URL/portal text preserved for review: guides.library
City of Langley Development Portal,B — Municipal development applications,https://data-langleycity.opendata.arcgis.com,YES,city_langley_devapps,arcgis_hub_discover,ROOT_CONFIRMED_DATASET_TO_VERIFY,High,HTML list (LLM) + open-data layers,Verified,[usefulness est.: Med] HTML list of active applications w/ type/applicant/contact. Monthly Development Activity PDF too
Maple Ridge Active Development Applications,B — Municipal development applications,https://opengov2-mapleridge.opendata.arcgis.com/datasets/active-development-applications,YES,maple_ridge_devapps,arcgis_hub_item,CONFIRMED,High,ArcGIS hub / API,Verified,[usefulness est.: High] Structured. Same adapter pattern as Township of Langley
Pitt Meadows Current Developments,B — Municipal development applications,https://pittmeadows.ca/business-development/current-developments,NO,NONE,N/A,N/A,Low,council-only + map-only,Verified,"[usefulness est.: Med] No structured table. Council agendas + Current Developments page. Golden Ears Business Park, Katzie FN | Original URL/portal text preserved for review: pittmeadows.ca/business-d"
Surrey Capital / FutureWorks Layers,B — Municipal development applications,https://data.surrey.ca,YES,surrey_futureworks,arcgis_map_discover,GATED_OFFICE_NETWORK,Med,ArcGIS REST (FutureWorks layers),Blocked (cloud IP),Capital / FutureWorks layers Internal gisservices.surrey.ca = 403 for cloud IP → run Test #1 from TENDER_FINDER network
Surrey Development Applications / Open Data,B — Municipal development applications,https://data.surrey.ca/dataset/development-applications,YES,surrey_devapps,arcgis_hub_discover,HUB_CONFIRMED_DATASET_TO_RESOLVE,High,ArcGIS hub + public PDF (LLM) + internal API,Public path works; internal API blocked,[usefulness est.: High] Source #1. Internal GIS blocked for cloud
Surrey GIS / FutureWorks,B — Municipal development applications,https://gisservices.surrey.ca/arcgis/rest/services/FutureWorks/MapServer,YES,surrey_futureworks,arcgis_map_discover,GATED_OFFICE_NETWORK,High,API (internal),Blocked (cloud IP),Surrey GIS (FutureWorks) Blocked for datacenter IPs. Pending Test #1 from TENDER_FINDER network
Township of Langley Development Activity,B — Municipal development applications,https://data-tol.opendata.arcgis.com,YES,twp_langley_devactivity,arcgis_hub_item,CONFIRMED,High,ArcGIS hub / API,Verified,[usefulness est.: High] Structured table + Development Activity Portal. Simpler than Surrey
Surrey Planning Reports / ODI / COSMOS,C — Council / committee agendas,https://www.surrey.ca,NO,NONE,N/A,N/A,Low-Med,Web / PDF (LLM-read),Verified,"[usefulness est.: High] Proven Surrey lead path was built from public reports, not the blocked server | Original URL/portal text preserved for review: https://www.surrey.ca (council agendas)"
BC Major Projects Inventory,D — Capital plans / future infrastructure,https://www2.gov.bc.ca/gov/content/employment-business/economic-development/industry/bc-major-projects-inventory,NO,NONE,N/A,N/A,Med (one-off),Public page / export,Verified (sunsetting ~30 Jun 2026),[usefulness est.: Med] EXPORT before 30 Jun. Afterwards via Legislative Library only
BC MoTI Capital / Service Plan,D — Capital plans / future infrastructure,https://www.gov.bc.ca,NO,NONE,N/A,N/A,Medium,Public web / PDF + RSS,Verified,[usefulness est.: High] MoTI is a KNOWN TENDER_FINDER client. Highway / bridge / interchange projects | Original URL/portal text preserved for review: https://www.gov.bc.ca / https://www.translink.ca
