source_id,source_name,source_category,priority_tier,official_url,url_check_status,http_status_code,automation_status_bucket,suggested_fetch_type,suggested_output_route,access_status,recommended_action,script_ready
SRC-001,BC Bid,A_active_tender,1,https://bcbid.gov.bc.ca/,NEEDS_CONNECTOR_NOT_SIMPLE_SCRAPE,200,semi_automated_rss_html,bc_bid_connector_required,Active_Tenders,Verified (Business BCeID),Platform connector required for BCBID. Do not attempt plain HTML scraping.,YES_CONNECTOR_REQUIRED
SRC-002,CivicInfo BC — Bids & Tenders,A_active_tender,1,https://www.civicinfo.bc.ca/bids,FORBIDDEN_BUT_LIKELY_VALID,403,semi_automated_rss_html,rss_feed,Active_Tenders,Verified,"403/429 from a likely-valid portal (bot-blocking). Verify manually. Connector, auth, or rate-limited approach needed.",REVIEW_REQUIRED
SRC-003,bids&tenders Municipal Portals,A_active_tender,1,https://www.bidsandtenders.ca/,NEEDS_CONNECTOR_NOT_SIMPLE_SCRAPE,200,semi_automated_rss_html,bidsandtenders_connector_required,Active_Tenders,Verified (registration),Platform connector required for BIDSANDTENDERS. Do not attempt plain HTML scraping.,YES_CONNECTOR_REQUIRED
SRC-004,BC Municipal GIS Directory,B_dev_applications,1,https://guides.library.ubc.ca/bc-maps-data,OK,200,semi_automated_rss_html,html_listing,Future_Projects,Working,URL is live. Proceed to scripting.,YES_SIMPLE_HTTP
SRC-005,City of Langley Development Portal,B_dev_applications,1,https://data-langleycity.opendata.arcgis.com/,OK,200,semi_automated_rss_html,api_json / html_listing,Future_Projects,Verified,URL is live. Proceed to scripting.,YES_SIMPLE_HTTP
SRC-006,Maple Ridge Active Development Applications,B_dev_applications,1,https://opengov2-mapleridge.opendata.arcgis.com/datasets/active-development-applications,OK,200,working_live_automated,api_json / html_listing,Future_Projects,Verified,URL is live. Proceed to scripting.,YES_SIMPLE_HTTP
SRC-007,Pitt Meadows Current Developments,B_dev_applications,1,https://pittmeadows.ca/business-development/current-developments,LOGIN_OR_MANUAL,,manual_p3,pdf_manual,Future_Projects,Verified,Manual workflow. No automated scraping.,MANUAL_WORKFLOW_ONLY
SRC-008,Surrey Capital / FutureWorks Layers,B_dev_applications,1,https://data.surrey.ca/,OK_REDIRECTED,200,semi_automated_rss_html,api_json / html_listing,Future_Projects,Blocked (cloud IP),URL redirects to final destination. Update registered URL to avoid unnecessary hops.,YES_SIMPLE_HTTP
SRC-009,Surrey Development Applications / Open Data,B_dev_applications,1,https://data.surrey.ca/dataset/development-applications,OK_REDIRECTED,200,semi_automated_rss_html,api_json / html_listing,Future_Projects,Public path works; internal API blocked,URL redirects to final destination. Update registered URL to avoid unnecessary hops.,YES_SIMPLE_HTTP
SRC-010,Surrey GIS / FutureWorks,B_dev_applications,1,https://gisservices.surrey.ca/arcgis/rest/services/FutureWorks/MapServer,OK,200,semi_automated_rss_html,api_json / html_listing,Future_Projects,Blocked (cloud IP),URL is live. Proceed to scripting.,YES_SIMPLE_HTTP
