proposed_source_id,source_name,source_category,owner_organization,geography_coverage,source_type,official_url,example_relevant_page_or_record_url,likely_signal_type,suggested_fetch_type,suggested_output_route,access_status,priority_tier,notes
SRC-069,City of Langley Bids & Tenders endpoint,A_active_tender,City of Langley,City of Langley,bidsandtenders,https://langleycity.bidsandtenders.ca,,active tender,html_listing,Active_Tenders,public,1,Direct City of Langley bids&tenders feed.
SRC-070,City of Richmond Bids & Tenders endpoint,A_active_tender,City of Richmond,Richmond (Tier 2) / Richmond,bidsandtenders / HTML listing,https://richmond.bidsandtenders.ca/,https://www.richmond.ca/business-tenders/bids-tenders,active tender,ods_v21 / html_listing,Active_Tenders,public,1,Pristine structured JSON data feed. | Baseline #3 generic; this exact endpoint isolates high-water-table civil works.
SRC-071,City of Surrey Bids & Tenders / RFQ-RFP owner endpoint,A_active_tender,City of Surrey,Surrey (Tier 1) / Surrey,bidsandtenders / HTML listing,https://surrey.bidsandtenders.ca/,https://www.surreyschools.ca/purchasing; https://www.surrey.ca/business-economy/bids-tenders; https://www.surrey.ca/business-economy/tenders-rfqs-rfps; https://www.surrey.ca/business-economy/tenders-rfqs-rfps/drainage-improvements-package,active tender,ods_v21 / html_listing,Active_Tenders,public,1,"Pristine structured data feed for automated run queues. | Operates in tandem with City of Surrey portal for educational facilities. | ""List includes RFPs for civil works; monitor for new postings."""
SRC-072,Fraser Valley Regional District Tenders & RFPs with RSS,A_active_tender,Fraser Valley Regional District,Fraser Valley / Fraser Valley Regional District,HTML listing + RSS / HTML listing,https://www.fvrd.ca/EN/main/government/tenders-rfps.html,https://www.fvrd.ca/EN/main/government/tenders-rfps/hemlock-valley-community-trail-fuel-removal.html; https://www.fvrd.ca/EN/main/government/tenders-rfps/fvrd-electoral-areas-utilities-construction-works.html,active tender,rss_feed,Active_Tenders,public,1,"Uses BC Bid or other platforms downstream but FVRD RSS is a distinct, easily-filtered feed worth explicit tracking. | Use the page plus RSS if building a connector. | —"
SRC-073,Maple Ridge Bid Opportunities / bids&tenders endpoint,A_active_tender,City of Maple Ridge,Maple Ridge,bidsandtenders / HTML listing,https://mapleridge.bidsandtenders.ca,https://www.mapleridge.ca/build-do-business/bid-opportunities,active tender,html_listing,Active_Tenders,public,1,"Good candidate for keyword rules: road, sewer, water, drainage, paving, MMCD. | Direct Maple Ridge bids&tenders feed. | Subsource of broad procurement universe, but easier to operate as an owner-direct watchlist."
SRC-074,Pitt Meadows Bids & Tenders endpoint,A_active_tender,City of Pitt Meadows,Pitt Meadows,bidsandtenders,https://pittmeadows.bidsandtenders.ca,,active tender,html_listing,Active_Tenders,public,1,Direct Pitt Meadows bids&tenders feed.
SRC-075,Squamish-Lillooet Regional District Contracting Opportunities,A_active_tender,Squamish-Lillooet Regional District,Sea-to-Sky / Squamish-Lillooet,HTML listing,https://www.slrd.bc.ca/inside-slrd/contracting-opportunities,,active tender / pre-procurement,html_listing,Active_Tenders,public,1,Subsource to BC Bid but includes pre-procurement notices and region-specific context.
SRC-076,Township of Langley Bids & Tenders endpoint,A_active_tender,Township of Langley,Township of Langley (Tier 1) / Township of Langley,bidsandtenders,https://tol.bidsandtenders.ca/,,active tender,ods_v21 / Active_Tenders,Active_Tenders,public / html_listing,1,"Hosts multi-million dollar park and site prep tenders. | ""Separate workflow to capture only TOL opportunities."" | Baseline #3 is generic; this specific endpoint allows direct category filtering for TOL."
SRC-077,BC Hydro active bid opportunities / supplier portal workflow,H_utilities_crown_port_airport,BC Hydro,"British Columbia / Lower Mainland / BC-wide / Lower Mainland / BC-wide, filterable to Lower Mainland / Fraser Valley",other / HTML listing / BC Bid filter,https://www.bchydro.com/work-with-us/supplier-portal.html,https://www.bchydro.com/about/suppliers/contracting.html; https://www.bchydro.com/work-with-us/suppliers/bid-opportunities.html,procurement forecast / active tender,html_listing,Active_Tenders,public_with_filters / public,1,Requires vendor prequalification for heavy civil categories. | Add owner filter plus civil keywords. | Baseline #47 is project pipeline; this is the active supplier bidding platform.
SRC-078,FortisBC contractor/vendor prequalification workflow,H_utilities_crown_port_airport,FortisBC,"Lower Mainland / gas service areas / Province-wide gas & electric, many projects in Lower Mainland / BC-wide, includes Lower Mainland",HTML listing / HTML info + external paid portal,https://www.fortisbc.com/about-us/doing-business-with-us/contractor-opportunities,https://www.fortisbc.com/about-us/projects-planning/work-with-us; https://webforms.fortisbc.com/forms/view.php?id=377303,active tender / GC invite / qualification / procurement forecast,html_listing / manual_p3,Active_Tenders,public / public info + paid ISN,1,"Key source for underground utility civil tenders. | Different from generic BC Bid; this is where Fortis prequalifies contractors and collects capability info. | Best handled as vendor-management workflow, not scraping target."
