source_id,source_name,category,owner_org,geography,source_type,signal_type,suggested_output_route,priority_tier,automation_feasibility,access_status,final_package_status,duplicate_status,next_action,notes,evidence_source
bc_bid,BC Bid,A_active_tender,BC Bid,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,partially_represented_by_final_code_but_source_register_row_missing,possible_duplicate_or_parent_source,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
civicinfo_bc_bids_and_tenders,CivicInfo BC — Bids & Tenders,A_active_tender,CivicInfo BC — Bids & Tenders,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,partially_represented_by_final_code_but_source_register_row_missing,possible_duplicate_or_parent_source,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
bids_and_tenders_municipal_portals,bids&tenders Municipal Portals,A_active_tender,bids&tenders Municipal Portals,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
bc_housing_opportunities,BC Housing Opportunities,A_active_tender,BC Housing Opportunities,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
bidcentral,BidCentral,A_active_tender,BidCentral,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,partially_represented_by_final_code_but_source_register_row_missing,possible_duplicate_or_parent_source,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
canadabuys,CanadaBuys,A_active_tender,CanadaBuys,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
city_of_vancouver_supplier_portal,City of Vancouver Supplier Portal,A_active_tender,City of Vancouver Supplier Portal,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
metro_vancouver_procurement,Metro Vancouver — Procurement,A_active_tender,Metro Vancouver — Procurement,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,partially_represented_by_final_code_but_source_register_row_missing,possible_duplicate_or_parent_source,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
translink_ariba_procurement,TransLink Ariba Procurement,A_active_tender,TransLink Ariba Procurement,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
biddingo,Biddingo,A_active_tender,Biddingo,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
