source_id,source_name,old_url,candidate_url,tavily_confidence,review_decision,review_reason,apply_to_master,applied_url,notes
SRC-058,Infrastructure Canada / Public Transit Fund,https://canada.ca,https://housing-infrastructure.canada.ca/cptf-ftcc/index-eng.html,80,ACCEPT,Official Government of Canada infrastructure fund page; specific and more useful than generic canada.ca.,YES,https://housing-infrastructure.canada.ca/cptf-ftcc/index-eng.html,"Preserved from Tavily candidate output; REJECT means do not apply automatically, not delete."
SRC-064,Business in Vancouver / Western Investor,https://www.biv.com,https://www.biv.com/news/entertainment-media-sports/5-things-you-probably-didnt-know-were-founded-vancouver-8268017,65,REJECT,"Random BIV article, not a stable procurement/source page.",NO,,"Preserved from Tavily candidate output; REJECT means do not apply automatically, not delete."
SRC-083,KPU Procurement Services / current opportunities,https://www.kpu.ca/procurement/current-opportunities,https://www.kpu.ca/procurement/Vendor-Help,99,ACCEPT,Official KPU procurement/vendor page on same domain; stable procurement pathway.,YES,https://www.kpu.ca/procurement/Vendor-Help,"Preserved from Tavily candidate output; REJECT means do not apply automatically, not delete."
SRC-084,Langley School District purchasing and tenders,https://www.sd35.bc.ca/board-of-education/administration/purchasing-tenders,https://www.sd35.bc.ca/purchasing-logistics,87,ACCEPT,Official Langley SD purchasing/logistics page on same domain.,YES,https://www.sd35.bc.ca/purchasing-logistics,"Preserved from Tavily candidate output; REJECT means do not apply automatically, not delete."
SRC-090,City of Langley Capital Projects,https://www.langleycity.ca/city-services/engineering/capital-projects,https://www.langleycity.ca/business-development/capital-projects,89,ACCEPT,Official City of Langley capital projects page on same domain.,YES,https://www.langleycity.ca/business-development/capital-projects,"Preserved from Tavily candidate output; REJECT means do not apply automatically, not delete."
SRC-091,Maple Ridge Capital Projects,https://www.mapleridge.ca/engineering/capital-projects,https://www.mapleridge.ca/news/maple-ridge-moves-key-infrastructure-projects-forward-2026-2030-capital-plan,82,REJECT,"News article/capital-plan story, not a stable capital projects source page.",NO,,"Preserved from Tavily candidate output; REJECT means do not apply automatically, not delete."
SRC-094,Pitt Meadows Capital Projects,https://www.pittmeadows.ca/engineering/capital-projects,https://www.pittmeadows.ca/city-services/transportation-infrastructure,82,ACCEPT_REVIEW,Official Pitt Meadows infrastructure page and likely more stable than broken capital-projects path; applied as clearly official owner page.,YES,https://www.pittmeadows.ca/city-services/transportation-infrastructure,"Preserved from Tavily candidate output; REJECT means do not apply automatically, not delete."
SRC-095,Surrey Capital Construction Projects,https://www.surrey.ca/city-government/capital-construction-projects,https://www.surrey.ca/news-events/news/surrey-accelerates-delivery-of-major-capital-projects-across-city,99,REJECT,"Surrey news article, not a stable capital project source page.",NO,,"Preserved from Tavily candidate output; REJECT means do not apply automatically, not delete."
SRC-097,Township of Langley Capital Projects,https://www.tol.ca/en/engineering/capital-projects.aspx,https://www.tol.ca/en/building-development/capital-projects.aspx,89,ACCEPT,Official Township of Langley capital projects page on same domain.,YES,https://www.tol.ca/en/building-development/capital-projects.aspx,"Preserved from Tavily candidate output; REJECT means do not apply automatically, not delete."
SRC-102,FortisBC Major Projects / Capital Pipeline,https://www.fortisbc.com/about-us/major-projects,https://www.fortisbc.com/about-us/projects-planning,65,ACCEPT_REVIEW,Official FortisBC projects/planning page; broader but clearly official and safer than broken major-projects path.,YES,https://www.fortisbc.com/about-us/projects-planning,"Preserved from Tavily candidate output; REJECT means do not apply automatically, not delete."
SRC-117,Adera Development Projects,https://www.adera.com/projects,https://adera.com/residential,65,ACCEPT_REVIEW,Official Adera page but too broad/generic to apply automatically.,NO,,"Preserved from Tavily candidate output; REJECT means do not apply automatically, not delete."
SRC-118,Anthem Properties project news / portfolio,https://anthemproperties.com/projects,https://anthemproperties.com/anthem-and-bgo-to-develop-purpose-built-rental-community-in-coquitlam-centre,65,REJECT,"One-off developer news/project article, not a stable portfolio/source page.",NO,,"Preserved from Tavily candidate output; REJECT means do not apply automatically, not delete."
SRC-133,City of Langley Council Agendas,https://www.langleycity.ca/city-hall/council-meetings,https://www.langleycity.ca/media/file/bylaw-3310-adp-reportdp-08-244505-200a-streetpdf,80,REJECT,"Specific bylaw/report PDF, not stable council-agenda source.",NO,,"Preserved from Tavily candidate output; REJECT means do not apply automatically, not delete."
SRC-134,Pitt Meadows Council Agendas,https://www.pittmeadows.ca/city-hall/council-meetings,https://www.pittmeadows.ca/homes-development/zoning-land-use/zoning-rezoning,82,REVIEW,Official Pitt Meadows zoning/rezoning page but does not replace council-agenda workflow automatically.,NO,,"Preserved from Tavily candidate output; REJECT means do not apply automatically, not delete."
SRC-141,Tsawwassen First Nation Doing Business with TFN,https://tsawwassenfirstnation.com/business/doing-business-with-tfn,https://tsawwassenfirstnation.com/wp-content/uploads/2026/04/RFQ-for-Website.pdf,102,REJECT,"One-off RFQ PDF, not stable TFN procurement/business source page.",NO,,"Preserved from Tavily candidate output; REJECT means do not apply automatically, not delete."
SRC-142,Abbotsford Bids & Tenders endpoint,https://www.abbotsford.ca/business/bids-tenders,https://www.abbotsford.ca/city-hall/procurement-services,92,ACCEPT,Official City of Abbotsford procurement services page.,YES,https://www.abbotsford.ca/city-hall/procurement-services,"Preserved from Tavily candidate output; REJECT means do not apply automatically, not delete."
SRC-143,Burnaby Bidding Opportunities,https://www.burnaby.ca/doing-business/bidding-opportunities,https://www.burnaby.ca/business/doing-business-with-the-city/bid-opportunities,99,ACCEPT,Official City of Burnaby bid opportunities page.,YES,https://www.burnaby.ca/business/doing-business-with-the-city/bid-opportunities,"Preserved from Tavily candidate output; REJECT means do not apply automatically, not delete."
SRC-148,District of North Vancouver Bids & Tenders endpoint,https://www.dnv.org/business/bids-and-tenders,https://www.dnv.org/business-development/bid-opportunities,81,ACCEPT,Official District of North Vancouver bid opportunities page.,YES,https://www.dnv.org/business-development/bid-opportunities,"Preserved from Tavily candidate output; REJECT means do not apply automatically, not delete."
SRC-149,Mission Bids & Tenders endpoint,https://www.mission.ca/business/bids-tenders.htm,https://www.missiontexas.us/257/Bid-Opportunities,41,REJECT,Mission Texas result for Mission BC; wrong jurisdiction.,NO,,"Preserved from Tavily candidate output; REJECT means do not apply automatically, not delete."
SRC-150,New Westminster Bids & Tenders endpoint,https://www.newwestcity.ca/business/tenders,https://www.newwestcity.ca/database/files/NWRFP_11_26_Commissioning_Authority_MUCF.pdf,92,REJECT,"One-off RFP PDF, not stable New Westminster tenders/procurement page.",NO,,"Preserved from Tavily candidate output; REJECT means do not apply automatically, not delete."
SRC-152,BC Ferries procurement / contract opportunities,https://www.bcferries.com/about/doing-business/contract-opportunities,https://www.bcferries.com/news-releases/bcferries-awards-contract-for-additional-salish-class-vessel,100,REJECT,"BC Ferries news release, not procurement/contract opportunities page.",NO,,"Preserved from Tavily candidate output; REJECT means do not apply automatically, not delete."
SRC-154,Abbotsford School District doing business / tenders,https://www.abbyschools.ca/doing-business,https://finance.abbyschools.ca/purchasing/bid-opportunities/finance,95,ACCEPT,Official Abbotsford School District purchasing/bid opportunities page.,YES,https://finance.abbyschools.ca/purchasing/bid-opportunities/finance,"Preserved from Tavily candidate output; REJECT means do not apply automatically, not delete."
SRC-155,Burnaby School District tenders,https://burnabyschools.ca/tenders,https://burnabyschools.ca/wp-content/uploads/2022/11/NEW-3.80-Policy-Purchasing-Goods-and-Services.pdf,87,REJECT,"Policy PDF, not active tender/procurement source page.",NO,,"Preserved from Tavily candidate output; REJECT means do not apply automatically, not delete."
SRC-156,Chilliwack School District tenders,https://sd33.bc.ca/tenders,https://www.sd33.bc.ca,55,ACCEPT_REVIEW,Official SD33 homepage but too generic; preserve for manual review only.,NO,,"Preserved from Tavily candidate output; REJECT means do not apply automatically, not delete."
SRC-157,Coquitlam SD43 tenders,https://www.sd43.bc.ca/Pages/tenders.aspx,https://www.sd43.bc.ca/Board/Policies/Administrative%20Procedures/AP%20514.pdf,72,REJECT,"Administrative policy PDF, not tenders/procurement source page.",NO,,"Preserved from Tavily candidate output; REJECT means do not apply automatically, not delete."
